The accuracy of tagger.py is: 82.39%.

Predicted Tag  #    $   ''   (   )     ,     .    :    CC    CD    DT  EX    IN    JJ  JJR  JJS  LS   MD    NN   NNP  NNPS   NNS  PDT  POS   PRP  PRP$    RB  RBR  RBS  RP    TO   VB   VBD  VBG  VBN  VBP   VBZ  WDT   WP  WP$  WRB   ``
Actual Tag                                                                                                                                                                                                                               
#              5    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
$              0  371    0   0   0     0     0    0     0     0     0   0     0     0    0    0   0    0     4     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
''             0    0  532   0   0     0     0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0    1     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
(              0    0    0  72   0     0     0    0     1     0     0   0     1     0    0    0   0    0     0     0     0     1    0    0     0     0     0    0    0   0     0    0     0    0    1    0     0    0    0    0    0    0
)              0    0    0   0  68     0     0    0     0     0     0   0     1     2    0    0   0    0     1     0     0     1    0    1     0     0     1    0    0   0     0    0     0    0    0    1     0    0    0    0    0    0
,              0    0    0   0   0  3070     0    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
.              0    0    0   0   0     0  2363    0     0     0     0   0     0     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
:              0    0    0   0   0     0    15  320     0     0     0   0     1     0    0    0   0    0     0     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
CC             0    0    0   0   0     0     0    0  1360     0    10   0     0     0    0    0   0    1     0     0     0     0    0    0     0     0     2    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
CD             0    0    1   0   0     0     0    0     0  1498    17   0     0     0    0    0   0    0   416     1     0     0    0    0     2     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
DT             0    0    0   0   0     0     0    0     0     5  4759   0    50     1    0    0   0    0     0     0     0     0    1    0     0     0     0    0    0   0     0    0     0    0    0    0     0    2    1    0    0    0
EX             0    0    0   0   0     0     0    0     0     0     0  49     0     0    0    0   0    0     0     0     0     0    0    0     0     0     8    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
FW             0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0   0    0    19     1     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
IN             0    0    0   0   0     0     0    0     0     1     5   0  5771    28    0    0   0    0    16     0     0     0    0    0     0     1    29    0    0   9     0    0     0    0    0    0     0    6    0    0    0    0
JJ             0    0    0   0   0     0     0    0     0     0   267   0    12  2113    1    1   0    0  1073    34     0     0    0    0     0     1    64    4    0   0     0    3    25   21   88    3     0    0    2    0    0    0
JJR            0    0    1   0   0     2     0    0     0     0     8   0     2     1  107    0   0    0    16     1     0     0    0    1     0     1     1   57    0   0     0    0     0    0    0    0     0    0    0    0    0    0
JJS            0    0    0   0   0     0     0    1     0     0     3   0     4     0    0  100   0    0    11     0     0     0    0    0     0     0     0    0    5   0     0    0     3    0    0    0     0    0    0    0    0    1
LS             0    0    0   0   0     0     0    0     0     0     0   0     0     0    0    0   4    0     0     0     0     0    0    0     0     0     0    0    0   0     0    0     0    0    0    0     0    0    0    0    0    0
